instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
medium_seed4,medium,ablation,S1-DIV,S2-FULL,,,0,35.604,True,"[910, 120, 141882]",60.027,False,333,313,0.0,0.0213,0.6923,1.0,76,24,136,20,1.0,150732,0
medium_seed4,medium,ablation,S1-DIV,S2-VALW,,,0,35.604,True,"[56576, 115, 140775]",60.027,False,333,309,0.0,0.0213,0.6923,1.0,70,23,146,24,1.0,150732,0
medium_seed5,medium,ablation,S1-COST,S2-BASE,,,0,16.359,True,[],0.032,False,400,387,0.0,0.0,0.6977,1.0,168,239,280,13,1.0,124065,114
medium_seed5,medium,ablation,S1-COST,S2-EVEN,,,0,16.359,True,[115717],60.021,False,400,366,0.0,0.0,0.6977,1.0,46,63,92,34,1.0,124065,114
medium_seed5,medium,ablation,S1-COST,S2-HET,,,0,16.359,True,"[170, 116968]",60.019,False,400,372,0.0,0.0,0.6977,1.0,70,34,152,28,1.0,124065,114
medium_seed5,medium,ablation,S1-COST,S2-WC,,,0,16.359,True,"[150, 117879]",60.022,False,400,379,0.0,0.0,0.6977,1.0,15,96,162,21,1.0,124065,114
medium_seed5,medium,ablation,S1-COST,S2-FULL,,,0,16.359,True,"[370, 370, 120412]",60.025,False,400,386,0.0,0.0,0.6977,1.0,35,74,97,14,1.0,124065,114
medium_seed5,medium,ablation,S1-COST,S2-VALW,,,0,16.359,True,"[17318, 320, 119002]",60.028,False,400,383,0.0,0.0,0.6977,1.0,31,64,103,17,1.0,124065,114
medium_seed5,medium,ablation,S1-DIV,S2-BASE,,,415,119.26,False,[],0.031,False,378,368,0.0,0.0,0.7568,1.0,182,251,261,10,1.0,115546,83
medium_seed5,medium,ablation,S1-DIV,S2-EVEN,,,415,119.26,False,[106417],60.022,False,378,342,0.0,0.0,0.7568,1.0,67,62,85,36,1.0,115546,83
medium_seed5,medium,ablation,S1-DIV,S2-HET,,,415,119.26,False,"[130, 107583]",60.02,False,378,349,0.0,0.0,0.7568,1.0,95,26,139,29,1.0,115546,83
medium_seed5,medium,ablation,S1-DIV,S2-WC,,,415,119.26,False,"[230, 108446]",60.021,False,378,355,0.0,0.0,0.7568,1.0,21,85,116,23,1.0,115546,83
medium_seed5,medium,ablation,S1-DIV,S2-FULL,,,415,119.26,False,"[410, 205, 110037]",60.025,False,378,360,0.0,0.0,0.7568,1.0,40,41,76,18,1.0,115546,83
medium_seed5,medium,ablation,S1-DIV,S2-VALW,,,415,119.26,False,"[20025, 245, 108415]",60.023,False,378,356,0.0,0.0,0.7568,1.0,36,49,76,22,1.0,115546,83
