instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
large_seed7,large,ablation,S1-COST,S2-VALW,,,5485,119.594,False,"[95314, 0, 5490666]",0.039,False,14,14,0.0,0.0,0.0,0.0,8,0,0,0,1.0,,
large_seed7,large,ablation,S1-COST,S2-WC,,,5485,119.594,False,"[210, 5490666]",0.013,False,14,14,0.0,0.0,0.0,0.0,9,0,2,0,1.0,,
large_seed7,large,ablation,S1-DIV,S2-BASE,,,4209,119.709,False,[],0.006,False,15,15,0.0,0.0,0.0,0.0,15,0,8,0,1.0,,
large_seed7,large,ablation,S1-DIV,S2-EVEN,,,4209,119.709,False,[3936132],0.028,False,15,15,0.0,0.0,0.0,0.0,13,0,0,0,1.0,,
large_seed7,large,ablation,S1-DIV,S2-FULL,,,4209,119.709,False,"[310, 0, 3936132]",0.021,False,15,15,0.0,0.0,0.0,0.0,13,0,0,0,1.0,,
large_seed7,large,ablation,S1-DIV,S2-HET,,,4209,119.709,False,"[0, 3936132]",0.004,False,15,15,0.0,0.0,0.0,0.0,15,0,8,0,1.0,,
large_seed7,large,ablation,S1-DIV,S2-VALW,,,4209,119.709,False,"[155670, 0, 3936132]",0.044,False,15,15,0.0,0.0,0.0,0.0,13,0,0,0,1.0,,
large_seed7,large,ablation,S1-DIV,S2-WC,,,4209,119.709,False,"[310, 3936132]",0.014,False,15,15,0.0,0.0,0.0,0.0,15,0,4,0,1.0,,
medium_seed1,medium,ablation,S1-COST,S2-BASE,,,0,28.494,True,[],0.039,False,380,361,0.0,0.0,0.7879,1.0,216,218,280,19,1.0,112046,103
medium_seed1,medium,ablation,S1-COST,S2-EVEN,,,0,28.494,True,[98603],60.022,False,380,340,0.0,0.0,0.7879,1.0,68,39,117,40,1.0,112046,103
medium_seed1,medium,ablation,S1-COST,S2-FULL,,,0,28.494,True,"[760, 290, 104565]",60.025,False,380,357,0.0,0.0,0.7879,1.0,69,58,150,23,1.0,112046,103
medium_seed1,medium,ablation,S1-COST,S2-HET,,,0,28.494,True,"[105, 98468]",60.019,False,380,340,0.0,0.0,0.7879,1.0,143,21,228,40,1.0,112046,103
medium_seed1,medium,ablation,S1-COST,S2-VALW,,,0,28.494,True,"[46505, 375, 106940]",60.025,False,380,360,0.0,0.0,0.7879,1.0,69,75,164,20,1.0,112046,103
medium_seed1,medium,ablation,S1-COST,S2-WC,,,0,28.494,True,"[430, 102170]",60.021,False,380,349,0.0,0.0,0.7879,1.0,37,59,191,31,1.0,112046,103
medium_seed1,medium,ablation,S1-DIV,S2-BASE,,,255,119.218,False,[],0.041,False,380,366,0.0,0.0,0.7273,1.0,203,215,282,14,1.0,105522,51
medium_seed1,medium,ablation,S1-DIV,S2-EVEN,,,255,119.218,False,[98144],60.024,False,380,347,0.0,0.0,0.7273,1.0,69,49,132,33,1.0,105522,51
medium_seed1,medium,ablation,S1-DIV,S2-FULL,,,255,119.218,False,"[780, 260, 101851]",60.029,False,380,361,0.0,0.0,0.7273,1.0,72,52,157,19,1.0,105522,51
medium_seed1,medium,ablation,S1-DIV,S2-HET,,,255,119.218,False,"[85, 97990]",60.021,False,380,347,0.0,0.0,0.7273,1.0,136,17,217,33,1.0,105522,51
medium_seed1,medium,ablation,S1-DIV,S2-VALW,,,255,119.218,False,"[43231, 270, 101058]",60.028,False,380,360,0.0,0.0,0.7273,1.0,71,54,160,20,1.0,105522,51
medium_seed1,medium,ablation,S1-DIV,S2-WC,,,255,119.218,False,"[350, 98842]",60.023,False,380,352,0.0,0.0,0.7273,1.0,30,60,195,28,1.0,105522,51
medium_seed2,medium,ablation,S1-COST,S2-BASE,,,17967,119.482,False,[],0.017,False,111,111,0.0,0.0,0.0,0.0,37,48,33,0,1.0,,
medium_seed2,medium,ablation,S1-COST,S2-EVEN,,,17967,119.482,False,[17741429],60.02,False,111,109,0.0,0.0,0.0,0.0,30,40,18,2,1.0,,
medium_seed2,medium,ablation,S1-COST,S2-FULL,,,17967,119.482,False,"[1020, 195, 17741429]",60.019,False,111,109,0.0,0.0,0.0,0.0,30,39,18,2,1.0,,
medium_seed2,medium,ablation,S1-COST,S2-HET,,,17967,119.482,False,"[195, 17741407]",60.017,False,111,109,0.0,0.0,0.0,0.0,35,39,30,2,1.0,,
medium_seed2,medium,ablation,S1-COST,S2-VALW,,,17967,119.482,False,"[342402, 195, 17741431]",60.018,False,111,109,0.0,0.0,0.0,0.0,30,39,19,2,1.0,,
medium_seed2,medium,ablation,S1-COST,S2-WC,,,17967,119.482,False,"[1020, 17741407]",60.019,False,111,109,0.0,0.0,0.0,0.0,30,43,26,2,1.0,,
medium_seed3,medium,ablation,S1-COST,S2-BASE,,,0,29.997,True,[],0.034,False,398,389,0.0,0.0,0.9412,1.0,149,217,246,9,1.0,90977,115
medium_seed3,medium,ablation,S1-COST,S2-EVEN,,,0,29.997,True,[84512],60.022,False,398,371,0.0,0.0,0.9412,1.0,35,65,74,27,1.0,90977,115
medium_seed3,medium,ablation,S1-COST,S2-FULL,,,0,29.997,True,"[220, 215, 88550]",60.026,False,398,388,0.0,0.0,0.9412,1.0,21,43,49,10,1.0,90977,115
medium_seed3,medium,ablation,S1-COST,S2-HET,,,0,29.997,True,"[160, 88128]",60.02,False,398,385,0.0,0.0,0.9412,1.0,59,32,134,13,1.0,90977,115
medium_seed3,medium,ablation,S1-COST,S2-VALW,,,0,29.997,True,"[14401, 280, 88439]",60.026,False,398,387,0.0,0.0,0.9412,1.0,19,56,64,11,1.0,90977,115
medium_seed3,medium,ablation,S1-COST,S2-WC,,,0,29.997,True,"[110, 88169]",60.024,False,398,386,0.0,0.0,0.9412,1.0,11,96,137,12,1.0,90977,115
medium_seed3,medium,ablation,S1-DIV,S2-BASE,,,305,119.298,False,[],0.034,False,335,330,0.0,0.0,0.85,1.0,151,188,210,5,1.0,75992,61
medium_seed3,medium,ablation,S1-DIV,S2-EVEN,,,305,119.298,False,[72369],60.022,False,335,317,0.0,0.0,0.85,1.0,32,58,42,18,1.0,75992,61
medium_seed3,medium,ablation,S1-DIV,S2-FULL,,,305,119.298,False,"[230, 220, 74374]",60.027,False,335,326,0.0,0.0,0.85,1.0,23,44,35,9,1.0,75992,61
medium_seed3,medium,ablation,S1-DIV,S2-HET,,,305,119.298,False,"[170, 73741]",60.021,False,335,322,0.0,0.0,0.85,1.0,87,34,123,13,1.0,75992,61
medium_seed3,medium,ablation,S1-DIV,S2-VALW,,,305,119.298,False,"[27333, 280, 74559]",60.027,False,335,328,0.0,0.0,0.85,1.0,36,56,56,7,1.0,75992,61
medium_seed3,medium,ablation,S1-DIV,S2-WC,,,305,119.298,False,"[180, 74503]",60.026,False,335,327,0.0,0.0,0.85,1.0,18,88,97,8,1.0,75992,61
medium_seed4,medium,ablation,S1-COST,S2-BASE,,,0,10.335,True,[],0.059,False,439,428,0.0,0.0,0.9231,1.0,236,200,361,11,1.0,207742,98
medium_seed4,medium,ablation,S1-COST,S2-EVEN,,,0,10.335,True,[177543],60.024,False,439,376,0.0,0.0,0.9231,1.0,118,26,262,63,1.0,207742,98
medium_seed4,medium,ablation,S1-COST,S2-FULL,,,0,10.335,True,"[1240, 400, 191897]",60.037,False,439,407,0.0,0.0,0.9231,1.0,113,80,287,32,1.0,207742,98
medium_seed4,medium,ablation,S1-COST,S2-HET,,,0,10.335,True,"[10, 177212]",60.024,False,439,376,0.0,0.0,0.9231,1.0,185,2,335,63,1.0,207742,98
medium_seed4,medium,ablation,S1-COST,S2-VALW,,,0,10.335,True,"[82415, 355, 190419]",60.039,False,439,403,0.0,0.0,0.9231,1.0,116,71,283,36,1.0,207742,98
medium_seed4,medium,ablation,S1-COST,S2-WC,,,0,10.335,True,"[630, 182226]",60.024,False,439,385,0.0,0.0,0.9231,1.0,54,36,306,54,1.0,207742,98
medium_seed4,medium,ablation,S1-DIV,S2-BASE,,,0,35.604,True,[],0.045,False,333,320,0.0,0.0213,0.6923,1.0,196,144,261,13,1.0,150732,0
medium_seed4,medium,ablation,S1-DIV,S2-EVEN,,,0,35.604,True,[134489],60.023,False,333,299,0.0,0.0213,0.6923,1.0,86,10,130,34,1.0,150732,0
medium_seed4,medium,ablation,S1-DIV,S2-FULL,,,0,35.604,True,"[910, 120, 141882]",60.027,False,333,313,0.0,0.0213,0.6923,1.0,76,24,136,20,1.0,150732,0
